epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,5097.83,0.38954,0.50234,0.81955,0.99658,0.99231,0.99457,0.93242,0.38354,0.42939,0.79565,0.000275084,0.000275084,0.000275084
78,5112.7,0.44926,0.51164,0.81744,0.99461,0.99231,0.99457,0.91233,0.44064,0.45594,0.80817,0.000264085,0.000264085,0.000264085
79,5127.63,0.4123,0.50331,0.8224,0.99422,0.99156,0.99457,0.92343,0.40766,0.44947,0.79961,0.000253086,0.000253086,0.000253086
80,5142.42,0.40716,0.49048,0.8315,0.9943,0.99231,0.99457,0.92172,0.37847,0.42561,0.79228,0.000242087,0.000242087,0.000242087
81,5157.32,0.43538,0.51124,0.82881,0.994,0.99231,0.99457,0.92505,0.37875,0.41953,0.79351,0.000231088,0.000231088,0.000231088
82,5172.28,0.41765,0.50455,0.83244,0.99601,0.99231,0.99457,0.91681,0.42942,0.4329,0.80579,0.000220089,0.000220089,0.000220089
83,5187.19,0.4099,0.50147,0.81845,0.99608,0.99231,0.99457,0.91537,0.42237,0.42564,0.80344,0.00020909,0.00020909,0.00020909
84,5202.08,0.41025,0.48416,0.80919,0.99523,0.99231,0.99457,0.92922,0.3676,0.41487,0.79184,0.000198091,0.000198091,0.000198091
85,5217.3,0.42871,0.54388,0.81482,0.99503,0.99231,0.99457,0.92565,0.37281,0.42115,0.79234,0.000187092,0.000187092,0.000187092
86,5232.09,0.41679,0.51275,0.83223,0.99498,0.99231,0.99457,0.91496,0.4277,0.44557,0.80492,0.000176094,0.000176094,0.000176094
87,5246.98,0.4091,0.48875,0.82084,0.99573,0.99231,0.99457,0.91799,0.42705,0.44426,0.8056,0.000165095,0.000165095,0.000165095
88,5261.89,0.39571,0.49714,0.81916,0.99671,0.99231,0.99457,0.93355,0.37486,0.42024,0.79404,0.000154096,0.000154096,0.000154096
89,5278.35,0.41734,0.4811,0.81582,0.9966,0.99192,0.99457,0.93755,0.36221,0.41167,0.79263,0.000143097,0.000143097,0.000143097
90,5297.56,0.3897,0.47063,0.823,0.99581,0.99231,0.99457,0.93943,0.36009,0.40367,0.79183,0.000132098,0.000132098,0.000132098
91,5316.46,0.38175,0.49956,0.80819,0.99572,0.99231,0.99457,0.93466,0.36764,0.40327,0.79265,0.000121099,0.000121099,0.000121099
92,5335.25,0.38755,0.46464,0.80177,0.99419,0.991,0.99457,0.93283,0.36732,0.40749,0.79246,0.0001101,0.0001101,0.0001101
93,5354.1,0.36692,0.46002,0.80419,0.99362,0.99055,0.99457,0.93053,0.36226,0.40987,0.79128,9.91012e-05,9.91012e-05,9.91012e-05
94,5372.99,0.34954,0.46698,0.80231,0.99316,0.99009,0.99457,0.9315,0.3623,0.41128,0.79142,8.81023e-05,8.81023e-05,8.81023e-05
95,5391.95,0.36665,0.4783,0.80586,0.99308,0.99022,0.99457,0.93398,0.36292,0.40936,0.7916,7.71034e-05,7.71034e-05,7.71034e-05
96,5410.66,0.36143,0.47121,0.80833,0.99376,0.99078,0.99457,0.93611,0.36803,0.40581,0.79196,6.61045e-05,6.61045e-05,6.61045e-05
97,5429.54,0.36525,0.45956,0.81083,0.99456,0.99083,0.99457,0.93478,0.36705,0.40259,0.79173,5.51056e-05,5.51056e-05,5.51056e-05
98,5448.29,0.36213,0.4568,0.79926,0.99572,0.99056,0.99457,0.938,0.36109,0.39802,0.79106,4.41067e-05,4.41067e-05,4.41067e-05
99,5467.08,0.34828,0.44876,0.79945,0.99586,0.98998,0.99457,0.93783,0.35703,0.39641,0.79048,3.31078e-05,3.31078e-05,3.31078e-05
100,5486.01,0.34992,0.42917,0.79729,0.9958,0.98959,0.99457,0.93667,0.35617,0.39526,0.79054,2.21089e-05,2.21089e-05,2.21089e-05
